"jaar","code","provincie"
2022,"0532","Noord-Holland"
2022,"0851","Noord-Brabant"
2022,"1708","Overijssel"
2022,"0971","Limburg"
2022,"1904","Utrecht"
2022,"1900","Fryslân"
2022,"0715","Zeeland"
2022,"0093","Fryslân"
2022,"0448","Noord-Holland"
2022,"1525","Zuid-Holland"
2022,"0716","Zeeland"
2022,"0281","Gelderland"
2022,"0855","Noord-Brabant"
2022,"0183","Overijssel"
2022,"1700","Overijssel"
2022,"1730","Drenthe"
2022,"0737","Fryslân"
2022,"0450","Noord-Holland"
2022,"0451","Noord-Holland"
2022,"0184","Flevoland"
2022,"0344","Utrecht"
2022,"1581","Utrecht"
2022,"0981","Limburg"
2022,"0994","Limburg"
2022,"0858","Noord-Brabant"
2022,"0047","Groningen"
2022,"0345","Utrecht"
2022,"0717","Zeeland"
2022,"0861","Noord-Brabant"
2022,"0453","Noord-Holland"
2022,"0983","Limburg"
2022,"0984","Limburg"
2022,"1961","Utrecht"
2022,"0622","Zuid-Holland"
2022,"0096","Fryslân"
2022,"0718","Zeeland"
2022,"0986","Limburg"
2022,"0626","Zuid-Holland"
2022,"0285","Gelderland"
2022,"0865","Noord-Brabant"
2022,"1949","Fryslân"
2022,"0866","Noord-Brabant"
2022,"0867","Noord-Brabant"
2022,"0627","Zuid-Holland"
2022,"0289","Gelderland"
2022,"0629","Zuid-Holland"
2022,"0852","Noord-Holland"
2022,"0988","Limburg"
2022,"0457","Noord-Holland"
2022,"1960","Gelderland"
2022,"0668","Gelderland"
2022,"1969","Groningen"
2022,"1701","Drenthe"
2022,"0293","Gelderland"
2022,"1950","Groningen"
2022,"1783","Zuid-Holland"
2022,"0098","Fryslân"
2022,"0614","Zuid-Holland"
2022,"0189","Overijssel"
2022,"0296","Gelderland"
2022,"1696","Noord-Holland"
2022,"0352","Utrecht"
2022,"0294","Gelderland"
2022,"0873","Noord-Brabant"
2022,"0632","Utrecht"
2022,"1690","Drenthe"
2022,"0880","Noord-Holland"
2022,"0351","Utrecht"
2022,"0479","Noord-Holland"
2022,"0297","Gelderland"
2022,"0473","Noord-Holland"
2022,"0050","Flevoland"
2022,"0355","Utrecht"
2022,"0299","Gelderland"
2022,"0637","Zuid-Holland"
2022,"0638","Zuid-Holland"
2022,"1892","Zuid-Holland"
2022,"0879","Noord-Brabant"
2022,"0301","Gelderland"
2022,"1896","Overijssel"
2022,"0642","Zuid-Holland"
2022,"0193","Overijssel"
2023,"1680","Drenthe"
2023,"0358","Noord-Holland"
2023,"0197","Gelderland"
2023,"0059","Fryslân"
2023,"0482","Zuid-Holland"
2023,"0613","Zuid-Holland"
2023,"0361","Noord-Holland"
2023,"0141","Overijssel"
2023,"0034","Flevoland"
2023,"0484","Zuid-Holland"
2023,"1723","Noord-Brabant"
2023,"1959","Noord-Brabant"
2023,"0060","Fryslân"
2023,"0307","Utrecht"
2023,"0362","Noord-Holland"
2023,"0363","Noord-Holland"
2023,"0200","Gelderland"
2023,"0202","Gelderland"
2023,"0106","Drenthe"
2023,"0743","Noord-Brabant"
2023,"0744","Noord-Brabant"
2023,"0308","Utrecht"
2023,"0489","Zuid-Holland"
